session_id,timestamp,sample_interval_sec,workflow_block_id,workflow_phase,experiment_type,quality_constraint,experiment_running_flag,monitoring_required_flag,user_interacting_flag,seconds_since_last_ui_interaction,live_view_enabled_flag,continuous_acquisition_display_flag,tile_scan_enabled_flag,tile_count_x,tile_count_y,tile_overlap_pct,planned_scan_area_mm2,preview_resolution_pct,camera_light_usage_index_pct,perf_cpu_pct,perf_gpu_usage_pct,perf_gpu_power_w,perf_disk_write_mb_s,perf_incoming_data_mb_s,processing_items_in_flight,estimated_system_power_w,estimated_energy_wh_interval
Z6G4_S15_001,2026-04-03 08:00:00,15,1,processing,reconstruction_only,medium,False,False,False,15,False,False,False,0,0,0.0,0.0,53.84,14.25,22.822,36.196,39.782,8.153,0.353,4.287,221.176,0.92157
Z6G4_S15_001,2026-04-03 08:00:15,15,1,processing,reconstruction_only,medium,False,False,False,30,False,False,False,0,0,0.0,0.0,61.11,12.2,23.382,45.87,49.858,8.443,0.256,5.003,227.601,0.94834
Z6G4_S15_001,2026-04-03 08:00:30,15,1,processing,reconstruction_only,medium,False,False,False,45,False,False,False,0,0,0.0,0.0,55.28,15.67,19.536,42.287,47.468,8.639,0.455,4.63,231.447,0.96436
Z6G4_S15_001,2026-04-03 08:00:45,15,1,processing,reconstruction_only,medium,False,False,False,60,False,False,False,0,0,0.0,0.0,56.37,10.46,17.559,46.464,54.399,7.863,0.274,3.64,233.205,0.97169
Z6G4_S15_001,2026-04-03 08:01:00,15,1,processing,reconstruction_only,medium,False,False,False,75,False,False,False,0,0,0.0,0.0,60.17,10.0,20.696,44.467,50.681,9.046,0.434,4.843,228.541,0.95225
Z6G4_S15_001,2026-04-03 08:01:15,15,1,processing,reconstruction_only,medium,False,False,False,90,False,False,False,0,0,0.0,0.0,60.53,7.63,19.041,42.119,46.735,7.67,0.624,3.607,235.746,0.98228
Z6G4_S15_001,2026-04-03 08:01:30,15,1,processing,reconstruction_only,medium,False,False,False,105,False,False,False,0,0,0.0,0.0,56.66,12.49,21.759,46.845,54.089,7.582,0.331,4.986,226.47,0.94362
Z6G4_S15_001,2026-04-03 08:01:45,15,1,processing,reconstruction_only,medium,False,False,False,120,False,False,False,0,0,0.0,0.0,53.47,9.24,21.491,44.57,51.722,7.487,0.424,4.8,225.525,0.93969
Z6G4_S15_001,2026-04-03 08:02:00,15,1,processing,reconstruction_only,medium,False,False,False,135,False,False,False,0,0,0.0,0.0,55.35,10.91,18.855,39.217,46.23,7.437,0.402,4.685,231.572,0.96488
Z6G4_S15_001,2026-04-03 08:02:15,15,1,processing,reconstruction_only,medium,False,False,False,150,False,False,False,0,0,0.0,0.0,57.61,10.73,19.761,37.251,40.494,6.413,0.25,4.62,220.756,0.91982
